concurso,data,d1,d2,d3,d4,d5,d6,ordem_sorteio
127,1998-08-08,21,29,50,51,54,59,59 21 51 54 29 50
128,1998-08-15,3,9,18,21,23,43,23 43 03 21 09 18
129,1998-08-22,1,9,10,32,46,54,46 54 10 09 01 32
130,1998-08-29,13,29,38,42,49,53,13 42 38 49 53 29
131,1998-09-05,4,9,17,27,30,44,30 09 17 27 04 44
132,1998-09-12,7,9,35,41,44,50,44 35 50 41 09 07
133,1998-09-19,5,6,19,34,39,57,19 57 06 39 34 05
134,1998-09-26,4,25,32,36,52,60,60 32 25 36 52 04
135,1998-10-03,21,22,35,40,53,59,35 40 21 59 53 22
136,1998-10-10,1,17,25,38,45,59,17 25 45 38 01 59
137,1998-10-17,15,16,19,22,26,49,26 15 16 22 19 49
138,1998-10-24,5,14,27,37,40,41,41 14 37 05 40 27
139,1998-10-31,3,13,26,27,41,42,26 27 13 42 41 03
140,1998-11-07,7,31,41,44,46,55,55 31 46 44 41 07
141,1998-11-14,10,13,22,41,42,58,10 22 42 13 41 58
142,1998-11-21,8,15,19,20,54,59,20 59 19 54 15 08
143,1998-11-28,6,18,20,40,50,53,40 18 06 20 50 53
144,1998-12-05,8,32,36,44,45,55,08 32 44 36 45 55
145,1998-12-12,15,16,31,41,43,51,43 15 41 51 16 31
146,1998-12-19,25,32,34,42,51,60,51 34 25 60 42 32
147,1998-12-24,6,16,23,24,28,38,24 06 38 23 28 16
148,1998-12-31,32,35,41,55,58,59,32 55 59 41 58 35
149,1999-01-09,7,11,20,28,45,48,11 45 48 07 28 20
150,1999-01-16,12,44,50,52,54,55,50 44 12 55 52 54
151,1999-01-23,3,16,20,43,52,56,03 43 16 56 52 20
152,1999-01-30,5,12,15,29,51,58,12 05 15 51 58 29
153,1999-02-06,2,30,31,42,45,47,47 02 31 42 45 30
154,1999-02-13,8,10,24,33,45,48,08 10 24 33 45 48
155,1999-02-20,12,30,32,35,43,44,12 32 44 43 35 30
156,1999-02-27,17,23,42,49,52,55,52 23 42 17 55 49
157,1999-03-06,4,13,17,21,41,44,17 13 04 44 41 21
158,1999-03-13,4,14,17,43,51,58,58 43 51 14 17 04
159,1999-03-20,9,11,16,35,50,58,16 09 50 58 11 35
160,1999-03-27,2,13,42,52,54,58,13 42 52 58 02 54
161,1999-04-03,6,25,30,37,39,41,25 37 30 39 06 41
162,1999-04-10,21,23,33,38,48,51,23 33 51 38 48 21
163,1999-04-17,8,27,36,41,53,56,41 56 27 36 53 08
164,1999-04-24,4,10,14,19,28,44,04 19 14 10 44 28
165,1999-05-01,10,19,23,35,39,56,39 56 19 23 10 35
166,1999-05-08,12,13,22,57,59,60,60 57 59 13 12 22
167,1999-05-15,1,11,28,33,38,48,01 38 48 28 11 33
168,1999-05-22,2,9,31,35,45,50,45 02 35 09 50 31
169,1999-05-29,1,13,21,37,51,52,52 51 37 13 21 01
170,1999-06-05,7,41,46,51,55,58,07 51 55 41 58 46
171,1999-06-12,4,27,40,43,46,54,54 27 04 43 40 46
172,1999-06-19,10,14,26,35,36,49,49 36 14 26 35 10
173,1999-06-26,17,28,29,42,49,50,29 28 49 17 42 50
174,1999-07-03,11,22,23,36,52,59,11 52 22 23 36 59
175,1999-07-10,1,10,13,20,42,50,10 20 13 01 42 50
176,1999-07-17,1,3,4,28,45,53,28 04 01 45 53 03
177,1999-07-24,22,35,38,39,41,59,35 22 39 41 59 38
178,1999-07-31,5,15,19,26,27,33,05 27 19 26 15 33
179,1999-08-07,5,6,23,26,27,53,06 53 05 26 27 23
180,1999-08-14,6,23,29,39,51,60,39 06 29 60 51 23
181,1999-08-21,1,27,33,35,51,55,33 01 55 35 51 27
182,1999-08-28,3,5,10,28,46,60,46 60 05 10 28 03
183,1999-09-04,2,7,11,16,40,44,16 11 07 40 44 02
184,1999-09-11,9,16,21,34,41,60,09 60 21 16 41 34
185,1999-09-18,17,22,43,46,55,59,59 17 22 46 43 55
186,1999-09-25,14,23,24,25,26,51,24 26 51 25 14 23
187,1999-10-02,6,36,41,44,48,58,06 44 58 41 36 48
188,1999-10-10,17,27,34,42,43,46,34 42 43 46 27 17
189,1999-10-16,4,15,31,38,41,53,41 53 38 04 31 15
190,1999-10-24,5,10,21,32,40,42,32 40 42 21 10 05
191,1999-10-31,1,3,5,23,41,58,58 05 41 03 01 23
192,1999-11-06,1,26,28,41,54,60,01 60 26 41 28 54
193,1999-11-13,4,11,12,19,43,49,12 04 11 49 43 19
194,1999-11-20,25,28,32,33,42,43,32 42 43 25 28 33
195,1999-11-27,3,9,17,32,37,44,17 03 44 37 09 32
196,1999-12-04,7,9,14,17,24,32,32 17 09 14 24 07
197,1999-12-11,5,12,15,19,29,52,19 52 29 15 12 05
198,1999-12-18,1,8,18,23,35,40,40 23 01 18 35 08
199,1999-12-24,10,16,37,50,52,57,52 37 57 16 10 50
200,1999-12-31,12,15,19,34,44,51,12 15 44 34 51 19
201,2000-01-08,5,20,22,30,35,55,55 22 05 30 35 20
202,2000-01-15,12,24,44,45,49,53,49 53 44 12 24 45
203,2000-01-22,11,19,29,44,47,55,11 55 44 19 29 47
204,2000-01-29,29,31,39,41,51,58,31 41 51 39 58 29
205,2000-02-05,26,32,40,43,46,54,26 32 54 43 46 40
206,2000-02-12,18,20,26,34,51,56,20 26 56 18 34 51
207,2000-02-19,3,7,19,24,53,55,19 07 03 55 24 53
208,2000-02-26,15,23,24,25,47,57,23 15 57 24 47 25
209,2000-03-04,13,21,26,32,41,52,13 52 32 41 21 26
210,2000-03-11,20,32,37,38,48,58,37 58 20 38 48 32
211,2000-03-18,10,20,33,40,45,50,10 20 40 45 50 33
212,2000-03-25,6,15,29,45,57,59,29 57 15 45 59 06
213,2000-04-01,3,9,23,30,32,35,03 30 09 35 23 32
214,2000-04-08,6,12,30,31,35,50,30 12 06 50 35 31
215,2000-04-15,7,28,37,46,53,58,07 58 28 53 37 46
216,2000-04-22,14,18,30,35,42,59,35 42 59 18 30 14
217,2000-04-29,3,27,32,45,49,51,27 32 03 51 49 45
218,2000-05-06,12,17,40,42,47,54,54 40 42 17 47 12
219,2000-05-13,23,26,28,36,42,49,26 23 49 28 42 36
220,2000-05-20,13,14,36,53,55,60,36 53 55 13 60 14
221,2000-05-27,13,27,43,50,54,58,54 13 58 43 50 27
222,2000-06-03,5,19,30,48,52,55,05 48 30 55 52 19
223,2000-06-10,2,6,22,24,28,58,28 24 22 02 58 06
224,2000-06-17,7,16,18,20,21,44,20 16 18 07 44 21
225,2000-06-24,2,4,16,21,37,58,21 16 04 37 02 58
226,2000-07-01,1,2,38,49,50,59,02 50 59 38 49 01
227,2000-07-08,11,26,27,37,42,48,37 26 27 42 11 48
228,2000-07-15,13,16,40,43,45,59,16 40 45 59 43 13
229,2000-07-22,11,13,21,33,39,45,39 45 11 21 33 13
230,2000-07-29,8,40,41,44,53,56,56 44 41 40 08 53
231,2000-08-05,16,27,36,42,44,59,16 59 27 42 44 36
232,2000-08-12,19,22,29,37,41,59,29 19 41 22 37 59
233,2000-08-19,3,7,24,32,36,45,45 03 24 36 07 32
234,2000-08-26,15,25,41,42,45,54,15 45 54 25 42 41
235,2000-09-02,2,22,29,31,41,55,29 41 55 02 31 22
236,2000-09-09,10,25,50,52,57,60,10 52 50 57 25 60
237,2000-09-16,7,31,36,45,56,57,36 07 45 31 56 57
238,2000-09-23,9,13,15,37,41,42,15 09 41 13 37 42
239,2000-09-30,6,21,33,44,46,47,33 21 44 46 47 06
240,2000-10-07,25,28,38,41,57,59,59 28 25 41 57 38
241,2000-10-14,11,31,35,40,56,57,11 57 40 35 56 31
242,2000-10-21,4,7,21,22,28,56,22 07 04 21 28 56
243,2000-10-28,11,16,20,23,32,47,20 47 23 32 16 11
244,2000-11-04,19,24,33,47,50,60,19 60 50 24 47 33
245,2000-11-11,8,27,44,51,53,60,44 51 27 53 08 60
246,2000-11-18,2,16,32,37,43,57,02 57 32 43 16 37
247,2000-11-25,3,10,23,30,34,46,34 03 30 10 23 46
248,2000-12-02,16,32,34,35,41,56,56 16 34 41 35 32
249,2000-12-09,21,36,40,49,54,55,21 55 54 40 36 49
250,2000-12-16,7,25,41,42,43,55,55 25 41 42 43 07
251,2000-12-23,15,23,30,34,49,55,34 15 23 55 49 30
252,2000-12-30,4,17,26,32,51,54,17 54 04 51 32 26
253,2001-01-06,11,12,24,37,44,56,12 11 56 44 24 37
254,2001-01-13,1,4,21,22,30,56,04 30 56 21 22 01
255,2001-01-20,16,19,20,32,44,55,32 44 55 19 20 16
256,2001-01-27,2,21,26,32,34,52,21 52 34 26 02 32
257,2001-02-03,1,4,5,19,28,34,28 05 01 34 04 19
258,2001-02-10,7,12,50,54,55,60,12 60 54 07 55 50
259,2001-02-17,13,15,20,33,43,58,20 43 33 13 15 58
260,2001-02-24,4,6,33,43,59,60,43 04 60 59 06 33
261,2001-03-03,5,16,20,30,54,56,05 54 20 56 30 16
262,2001-03-10,11,20,48,53,58,60,53 60 48 20 58 11
263,2001-03-17,8,9,26,43,50,53,08 50 26 09 53 43
264,2001-03-24,1,5,13,25,31,33,05 25 31 13 01 33
265,2001-03-31,7,16,34,41,50,53,07 50 53 16 41 34
266,2001-04-07,2,23,38,46,48,54,38 54 48 23 02 46
267,2001-04-14,1,8,45,46,55,58,58 01 45 55 08 46
268,2001-04-21,5,6,10,21,33,47,21 10 47 06 05 33
269,2001-04-28,17,18,19,25,49,52,19 18 52 25 17 49
270,2001-05-05,5,9,27,35,40,45,45 27 35 40 05 09
271,2001-05-12,14,24,26,29,31,54,14 31 54 29 26 24
272,2001-05-19,9,10,24,36,56,58,36 58 09 10 56 24
273,2001-05-26,10,17,23,27,47,52,47 52 10 27 23 17
274,2001-06-02,11,13,18,26,39,47,11 39 47 18 13 26
275,2001-06-09,16,19,30,37,38,48,16 30 19 38 48 37
276,2001-06-16,22,39,45,53,57,59,53 59 39 45 22 57
277,2001-06-23,4,26,38,40,52,56,40 26 38 04 56 52
278,2001-06-30,10,15,18,22,31,55,22 10 18 55 15 31
279,2001-07-07,4,23,31,47,58,59,31 59 04 58 23 47
280,2001-07-14,5,16,20,25,30,58,05 16 30 25 58 20
281,2001-07-21,5,11,31,38,47,53,11 05 47 31 53 38
282,2001-07-28,9,14,23,24,33,36,33 24 36 09 14 23
283,2001-08-01,25,28,34,42,48,54,48 34 28 54 25 42
284,2001-08-04,7,8,14,30,32,36,08 36 14 32 30 07
285,2001-08-08,12,32,37,41,50,56,50 56 41 12 32 37
286,2001-08-11,29,35,37,44,47,56,44 37 56 29 47 35
287,2001-08-15,3,13,25,33,47,60,60 47 03 33 25 13
288,2001-08-18,6,9,11,17,18,50,50 09 18 11 06 17
289,2001-08-22,6,7,20,25,30,36,36 06 30 20 07 25
290,2001-08-25,7,25,26,30,40,57,57 30 07 25 40 26
291,2001-08-29,5,16,17,18,22,41,22 16 05 41 18 17
292,2001-09-01,13,23,24,34,45,53,24 34 53 45 23 13
293,2001-09-05,5,6,7,12,28,35,06 12 35 05 28 07
294,2001-09-08,22,25,28,41,45,57,28 45 41 22 57 25
295,2001-09-12,7,12,24,31,44,50,24 44 07 31 12 50
296,2001-09-15,3,20,42,46,51,52,20 51 42 03 52 46
297,2001-09-19,1,20,28,33,36,41,20 28 41 01 33 36
298,2001-09-22,5,22,23,24,34,60,22 34 24 23 05 60
299,2001-09-26,2,5,7,33,49,53,07 05 02 53 33 49
300,2001-09-29,24,27,28,38,41,57,27 57 41 38 28 24
301,2001-10-03,9,26,48,49,57,58,58 26 49 57 48 09
302,2001-10-06,12,25,30,40,41,60,25 40 12 60 30 41
303,2001-10-10,7,13,17,30,37,47,07 13 30 37 47 17
304,2001-10-13,7,11,34,41,42,59,42 07 11 34 59 41
305,2001-10-17,5,11,27,38,53,60,11 05 27 60 38 53
306,2001-10-20,19,30,41,47,56,57,30 19 57 41 56 47
307,2001-10-24,13,16,17,26,41,44,26 17 13 41 16 44
308,2001-10-27,4,11,25,29,39,55,55 25 04 11 29 39
309,2001-10-31,4,11,25,39,50,55,39 50 25 55 11 04
310,2001-11-03,2,14,28,29,31,32,28 14 29 02 31 32
311,2001-11-07,22,24,30,32,38,41,32 22 24 41 30 38
312,2001-11-10,14,23,30,41,47,50,14 30 50 41 47 23
313,2001-11-14,14,16,24,37,38,53,14 38 53 24 16 37
314,2001-11-17,5,32,34,37,40,58,05 32 40 58 37 34
315,2001-11-21,12,21,22,28,43,50,50 21 43 12 28 22
316,2001-11-24,6,24,28,43,51,56,28 51 56 06 24 43
317,2001-11-28,16,20,27,30,35,48,27 20 48 16 30 35
318,2001-12-01,3,19,20,31,40,53,19 53 40 03 31 20
319,2001-12-05,12,16,17,19,23,48,12 16 23 17 19 48
320,2001-12-08,20,22,27,47,50,53,20 53 47 50 22 27
321,2001-12-12,4,11,31,32,48,49,11 31 32 48 49 04
322,2001-12-15,11,18,29,44,47,56,18 11 29 44 47 56
323,2001-12-19,26,31,33,40,49,54,31 49 54 33 26 40
324,2001-12-22,8,15,22,25,30,47,22 08 30 15 47 25
325,2001-12-29,1,3,4,21,23,53,04 23 03 01 21 53
326,2002-01-05,21,23,40,44,51,52,52 23 40 51 44 21
327,2002-01-09,29,32,33,38,46,48,46 38 29 33 32 48
328,2002-01-12,5,7,14,21,23,51,51 05 23 07 14 21
329,2002-01-16,10,11,12,24,35,40,24 11 40 12 35 10
330,2002-01-19,2,4,14,23,37,51,02 04 23 37 14 51
331,2002-01-23,1,13,20,27,35,37,27 01 35 20 37 13
332,2002-01-26,23,28,29,34,42,44,28 23 42 29 44 34
333,2002-01-30,4,27,35,44,52,53,35 27 53 44 52 04
334,2002-02-02,14,23,24,26,41,51,41 26 51 14 24 23
335,2002-02-06,7,23,33,43,57,59,43 33 57 23 59 07
336,2002-02-09,2,18,22,26,30,54,02 18 54 22 30 26
337,2002-02-16,4,14,16,31,52,54,31 52 14 54 16 04
338,2002-02-20,1,4,9,36,46,48,48 46 09 01 36 04
339,2002-02-23,5,12,13,16,27,50,13 16 12 05 27 50
340,2002-02-27,9,10,12,33,42,60,10 60 42 09 33 12
341,2002-03-02,5,16,22,23,43,56,56 23 22 43 16 05
342,2002-03-06,16,29,34,49,51,54,29 49 54 51 16 34
343,2002-03-09,4,6,7,12,24,41,04 06 07 24 12 41
344,2002-03-13,10,12,14,33,35,36,33 36 12 35 10 14
345,2002-03-16,11,22,46,51,56,58,56 11 58 46 51 22
346,2002-03-20,7,12,41,46,56,60,56 07 46 60 41 12
347,2002-03-23,1,10,12,26,48,52,26 10 52 01 12 48
348,2002-03-27,19,30,33,39,40,52,39 40 33 52 19 30
349,2002-03-30,8,9,28,32,38,54,09 38 32 08 54 28
350,2002-04-03,10,15,23,30,43,57,23 30 43 10 15 57
351,2002-04-06,15,16,24,41,59,60,15 16 59 60 24 41
352,2002-04-10,7,20,25,44,47,49,49 07 47 25 20 44
353,2002-04-13,19,23,30,46,55,60,60 46 30 55 23 19
354,2002-04-17,7,16,38,40,41,52,40 52 38 16 07 41
355,2002-04-20,2,14,22,23,37,60,02 37 22 60 14 23
356,2002-04-24,5,19,21,54,56,58,54 19 05 58 56 21
357,2002-04-27,2,30,32,35,45,53,45 53 32 02 30 35
358,2002-05-04,12,17,21,32,40,42,40 42 32 12 21 17
359,2002-05-08,13,19,20,29,31,54,31 54 20 29 13 19
360,2002-05-11,23,24,29,47,53,55,47 24 29 55 53 23
361,2002-05-15,16,28,31,41,45,59,41 28 45 31 16 59
362,2002-05-18,7,20,33,37,46,56,37 20 33 46 07 56
363,2002-05-22,19,29,39,47,49,54,39 54 29 49 47 19
364,2002-05-25,5,29,44,51,57,59,59 44 29 05 51 57
365,2002-05-29,19,23,34,37,52,58,52 19 34 37 58 23
366,2002-06-01,4,6,7,15,21,51,06 04 51 07 21 15
367,2002-06-05,10,12,27,33,49,52,52 49 27 33 12 10
368,2002-06-08,13,29,32,38,44,50,13 50 38 32 44 29
369,2002-06-12,1,14,21,35,42,60,21 42 01 60 35 14
370,2002-06-15,1,4,40,42,51,54,51 42 04 54 01 40
371,2002-06-19,4,18,23,33,39,60,23 33 39 04 60 18
372,2002-06-22,16,17,24,39,46,57,24 17 46 57 16 39
373,2002-06-26,1,5,10,24,31,33,31 33 24 10 05 01
374,2002-06-29,2,5,16,26,44,54,54 02 26 05 44 16
375,2002-07-03,1,5,9,42,51,58,51 09 42 05 58 01
376,2002-07-06,10,13,25,35,43,48,25 13 10 43 35 48
377,2002-07-10,3,12,19,27,45,46,46 19 03 45 12 27
378,2002-07-13,5,38,41,45,48,55,55 45 48 41 05 38
379,2002-07-17,24,33,40,41,55,59,41 55 24 59 33 40
380,2002-07-20,13,22,30,31,47,57,47 22 13 30 31 57
381,2002-07-24,9,10,28,46,55,56,09 56 46 28 10 55
382,2002-07-27,31,34,37,38,53,54,54 38 53 31 37 34
383,2002-07-31,14,22,48,50,53,56,48 22 53 56 50 14
384,2002-08-03,24,28,40,47,50,52,28 50 47 24 40 52
385,2002-08-07,5,12,16,18,22,24,22 12 24 18 05 16
386,2002-08-10,17,35,36,39,43,54,39 54 43 36 17 35
387,2002-08-14,22,28,29,43,47,48,29 28 48 47 43 22
388,2002-08-17,23,36,48,52,53,58,52 48 53 58 23 36
389,2002-08-21,5,14,18,43,46,54,46 14 54 18 43 05
390,2002-08-24,7,12,22,34,38,53,07 22 34 12 38 53
391,2002-08-28,4,7,15,16,35,40,07 15 35 16 40 04
392,2002-08-31,15,23,31,39,47,49,49 47 39 31 15 23
393,2002-09-04,6,12,35,36,40,50,12 50 36 06 35 40
394,2002-09-07,5,15,35,42,45,49,15 49 42 05 45 35
395,2002-09-11,10,11,14,20,31,58,11 58 31 14 10 20
396,2002-09-14,6,18,34,42,45,47,47 18 06 45 34 42
397,2002-09-18,1,2,5,24,32,46,32 24 02 05 01 46
398,2002-09-21,7,16,22,28,36,37,28 07 16 37 36 22
399,2002-09-25,11,16,27,47,55,59,59 55 16 27 47 11
400,2002-09-28,10,13,28,29,54,59,29 59 13 10 54 28
401,2002-10-02,11,18,43,44,50,53,50 18 44 53 11 43
402,2002-10-05,5,16,27,43,56,58,27 43 58 05 16 56
403,2002-10-09,7,16,27,31,46,60,46 31 07 16 60 27
404,2002-10-12,1,24,28,38,40,58,24 38 58 01 40 28
405,2002-10-16,24,29,34,47,57,60,57 60 34 24 29 47
406,2002-10-19,2,12,32,38,47,48,47 32 48 12 38 02
407,2002-10-23,2,18,22,49,51,57,49 02 18 51 22 57
408,2002-10-26,14,28,33,44,49,56,49 44 33 28 56 14
409,2002-10-30,18,25,26,31,34,49,26 49 25 18 31 34
410,2002-11-02,8,24,31,36,38,55,31 55 36 24 08 38
411,2002-11-06,10,12,31,38,45,56,10 56 12 31 45 38
412,2002-11-09,5,12,14,21,45,59,45 05 14 21 59 12
413,2002-11-13,2,4,29,33,35,53,35 53 29 33 02 04
414,2002-11-16,16,26,35,45,52,58,35 26 58 52 45 16
415,2002-11-20,1,4,27,38,42,44,38 44 04 01 27 42
416,2002-11-23,1,13,23,33,54,56,13 01 23 56 54 33
417,2002-11-27,7,12,21,25,34,42,25 07 12 21 42 34
418,2002-11-30,8,15,32,45,49,52,45 08 32 49 15 52
419,2002-12-04,9,16,41,42,52,53,41 42 52 53 16 09
420,2002-12-07,12,29,30,43,57,59,43 12 59 30 57 29
421,2002-12-11,5,35,37,38,45,51,38 45 35 37 05 51
