concurso,data,d1,d2,d3,d4,d5,d6,ordem_sorteio
845,2007-02-28,14,19,20,40,48,52,40 48 19 20 14 52
846,2007-03-03,2,3,44,47,50,54,47 54 02 50 03 44
847,2007-03-07,14,15,27,42,44,48,42 14 44 27 15 48
848,2007-03-10,17,27,32,34,47,56,56 34 17 32 47 27
849,2007-03-14,8,9,39,44,49,58,08 39 09 58 44 49
850,2007-03-17,7,22,25,44,59,60,60 22 59 25 44 07
851,2007-03-21,3,16,19,32,35,58,16 32 35 58 19 03
852,2007-03-24,6,14,23,34,38,44,14 38 06 23 44 34
853,2007-03-28,30,38,46,51,56,59,51 30 59 46 38 56
854,2007-03-31,3,17,24,25,27,44,17 03 24 27 44 25
855,2007-04-04,3,24,31,42,43,53,42 03 24 53 43 31
856,2007-04-07,11,15,40,41,42,47,11 40 41 47 15 42
857,2007-04-11,2,3,17,49,50,59,17 59 49 02 03 50
858,2007-04-14,4,18,23,31,37,54,31 37 54 23 04 18
859,2007-04-18,9,12,34,46,47,57,46 47 12 57 34 09
860,2007-04-23,2,8,17,22,42,44,22 08 17 42 44 02
861,2007-04-25,39,40,42,47,59,60,42 40 60 59 47 39
862,2007-04-28,2,8,11,12,19,35,19 35 12 02 11 08
863,2007-05-02,15,24,32,50,53,57,32 53 50 57 15 24
864,2007-05-05,8,11,31,33,42,57,31 11 33 42 57 08
865,2007-05-09,23,26,27,41,51,53,27 23 41 51 26 53
866,2007-05-12,5,27,36,40,46,48,36 48 27 40 05 46
867,2007-05-16,10,19,26,28,44,54,54 26 28 19 44 10
868,2007-05-19,21,22,25,40,51,57,57 51 21 22 25 40
869,2007-05-23,27,29,42,49,50,51,29 42 50 51 49 27
870,2007-05-26,8,21,34,40,43,52,52 08 43 34 40 21
871,2007-05-30,1,5,10,17,47,58,17 05 58 01 47 10
872,2007-06-02,5,18,31,43,55,58,18 55 58 43 31 05
873,2007-06-06,4,19,30,34,57,59,57 59 04 34 19 30
874,2007-06-09,10,20,42,44,52,59,59 20 52 42 44 10
875,2007-06-13,18,20,24,36,53,58,53 18 36 58 24 20
876,2007-06-16,4,8,12,41,45,60,04 12 41 45 60 08
877,2007-06-20,13,15,20,28,31,36,13 15 20 31 28 36
878,2007-06-23,11,12,37,38,43,54,37 12 43 38 11 54
879,2007-06-27,10,28,29,35,42,46,29 10 46 35 42 28
880,2007-06-30,25,30,37,46,49,51,51 30 49 25 37 46
881,2007-07-04,4,18,24,43,51,56,43 24 04 51 18 56
882,2007-07-07,17,41,42,44,45,60,42 45 44 60 41 17
883,2007-07-11,21,32,37,52,53,60,21 37 60 32 52 53
884,2007-07-14,2,11,12,14,22,39,22 11 02 14 39 12
885,2007-07-18,4,13,31,33,47,51,13 04 31 33 47 51
886,2007-07-21,17,33,37,50,55,59,50 55 37 33 59 17
887,2007-07-25,1,12,21,32,34,44,44 12 32 21 01 34
888,2007-07-28,24,40,50,52,54,60,50 24 40 54 52 60
889,2007-08-01,20,24,34,39,54,60,34 54 20 39 60 24
890,2007-08-04,7,9,17,21,22,54,09 21 22 07 17 54
891,2007-08-08,15,16,19,22,34,35,15 22 19 35 34 16
892,2007-08-11,1,19,42,44,49,52,01 49 52 42 19 44
893,2007-08-15,3,18,26,51,53,56,56 53 51 26 18 03
894,2007-08-18,20,24,28,37,41,44,37 24 44 28 20 41
895,2007-08-22,2,41,43,55,57,58,02 55 41 43 57 58
896,2007-08-25,5,11,22,31,35,41,31 11 41 35 22 05
897,2007-08-29,7,21,22,43,46,57,21 57 46 22 07 43
898,2007-09-01,3,4,8,30,45,54,04 08 03 54 45 30
899,2007-09-05,18,20,36,53,54,58,58 18 54 36 53 20
900,2007-09-08,4,18,21,34,38,59,04 21 59 18 38 34
901,2007-09-12,13,16,32,33,34,56,32 34 16 13 56 33
902,2007-09-15,18,23,50,52,55,58,52 55 23 50 58 18
903,2007-09-19,5,17,20,32,41,55,17 05 32 55 20 41
904,2007-09-22,32,44,48,51,53,59,32 44 59 53 48 51
905,2007-09-26,2,4,15,16,55,57,04 15 57 55 02 16
906,2007-09-29,7,14,24,29,35,39,35 39 29 24 07 14
907,2007-10-03,9,36,37,41,51,53,09 41 53 37 36 51
908,2007-10-06,1,9,19,25,50,52,19 01 09 25 50 52
909,2007-10-10,17,22,26,28,38,42,42 17 26 38 28 22
910,2007-10-13,3,15,27,29,36,53,53 29 36 03 15 27
911,2007-10-17,1,6,28,29,46,49,49 46 01 29 06 28
912,2007-10-20,4,19,21,26,29,54,26 21 54 04 19 29
913,2007-10-24,14,30,36,38,46,59,30 14 59 36 46 38
914,2007-10-27,9,12,23,33,45,51,33 51 09 23 45 12
915,2007-10-31,17,20,26,28,48,49,20 28 49 26 17 48
916,2007-11-03,5,28,33,36,37,38,33 37 05 38 28 36
917,2007-11-07,23,25,30,46,47,59,23 59 25 47 46 30
918,2007-11-10,4,8,12,38,44,52,38 44 08 04 12 52
919,2007-11-14,3,25,31,41,43,60,43 25 41 60 31 03
920,2007-11-17,5,17,24,52,55,57,17 57 55 24 52 05
921,2007-11-21,1,9,35,41,48,57,35 41 01 57 09 48
922,2007-11-24,12,13,19,41,45,49,41 49 45 19 13 12
923,2007-11-28,2,15,39,50,53,57,53 39 02 50 57 15
924,2007-12-01,2,20,21,27,51,60,51 27 60 21 20 02
925,2007-12-05,8,22,36,37,46,52,52 37 46 08 22 36
926,2007-12-08,21,33,34,40,41,59,40 41 34 33 21 59
927,2007-12-12,19,23,26,31,33,36,36 26 31 23 19 33
928,2007-12-15,4,10,32,33,49,60,32 10 49 60 04 33
929,2007-12-19,16,27,35,39,49,57,16 49 35 39 57 27
930,2007-12-22,20,28,37,46,49,55,46 20 55 37 28 49
931,2007-12-31,7,17,19,34,36,39,17 34 07 36 39 19
932,2008-01-05,2,17,21,36,42,53,02 21 42 53 36 17
933,2008-01-09,8,14,25,39,45,51,25 39 45 51 08 14
934,2008-01-12,1,3,21,25,44,48,25 48 44 03 21 01
935,2008-01-16,7,13,18,29,31,45,07 45 18 13 29 31
936,2008-01-19,5,14,22,29,33,44,05 33 14 29 44 22
937,2008-01-23,2,21,22,30,41,52,22 41 02 30 21 52
938,2008-01-26,15,27,35,50,57,59,35 15 27 57 50 59
939,2008-01-30,6,19,23,37,49,50,06 23 19 50 37 49
940,2008-02-02,5,25,31,33,37,51,25 33 51 31 05 37
941,2008-02-06,10,11,15,27,53,60,11 15 10 27 60 53
942,2008-02-09,5,8,18,42,52,59,05 52 18 08 59 42
943,2008-02-13,3,12,23,41,47,58,47 41 58 03 23 12
944,2008-02-16,16,37,43,52,58,59,16 58 43 37 52 59
945,2008-02-20,4,8,27,44,54,59,44 08 59 54 04 27
946,2008-02-23,1,5,12,47,52,59,59 01 47 05 52 12
947,2008-02-27,3,5,11,14,33,58,33 11 03 58 14 05
948,2008-03-01,22,41,44,46,52,54,22 44 41 46 52 54
949,2008-03-05,1,23,41,44,51,52,44 01 51 52 41 23
950,2008-03-08,23,41,42,48,49,59,48 59 49 41 42 23
951,2008-03-12,14,24,34,39,49,55,49 24 39 34 55 14
952,2008-03-15,2,11,18,27,30,54,54 11 27 18 02 30
953,2008-03-19,1,16,39,42,48,55,55 48 01 39 16 42
954,2008-03-22,5,8,18,24,33,57,08 05 24 18 57 33
955,2008-03-26,5,12,21,32,33,35,35 05 32 21 33 12
956,2008-03-29,46,47,51,54,57,59,46 51 47 59 54 57
957,2008-04-02,24,25,32,34,50,57,50 32 25 34 57 24
958,2008-04-05,7,13,22,33,48,51,13 22 07 33 51 48
959,2008-04-09,3,5,11,33,39,57,57 03 05 11 33 39
960,2008-04-12,6,18,19,33,34,53,34 06 33 18 53 19
961,2008-04-16,2,4,16,21,36,53,16 53 02 04 21 36
962,2008-04-19,2,11,40,48,49,55,02 48 49 40 55 11
963,2008-04-23,15,17,37,48,50,59,37 17 15 50 48 59
964,2008-04-26,8,13,20,26,33,42,42 13 33 20 08 26
965,2008-04-30,5,30,36,39,57,58,36 39 57 58 05 30
966,2008-05-03,1,4,26,28,41,58,01 58 26 28 04 41
967,2008-05-07,5,13,14,18,30,57,18 14 57 30 13 05
968,2008-05-10,1,4,13,30,51,60,30 04 13 60 51 01
969,2008-05-14,13,25,35,41,50,56,56 35 50 13 41 25
970,2008-05-17,5,21,28,34,54,57,57 34 05 54 28 21
971,2008-05-21,4,11,14,33,44,45,04 14 33 44 11 45
972,2008-05-24,15,18,31,33,34,56,33 18 15 56 31 34
973,2008-05-28,1,8,30,36,47,53,53 36 08 30 01 47
974,2008-05-31,12,16,20,31,38,45,45 20 38 31 16 12
975,2008-06-04,9,30,33,37,40,41,33 09 37 40 41 30
976,2008-06-07,14,23,25,28,38,53,28 53 38 23 14 25
977,2008-06-11,3,5,7,9,17,32,17 03 09 32 07 05
978,2008-06-14,12,16,18,27,42,58,42 58 12 18 16 27
979,2008-06-18,3,15,28,31,39,51,28 03 39 51 31 15
980,2008-06-21,15,17,29,35,36,59,35 17 59 15 36 29
981,2008-06-25,1,8,34,41,53,58,08 41 53 01 58 34
982,2008-06-28,8,12,24,40,43,49,12 24 08 40 43 49
983,2008-07-02,16,22,32,38,40,45,38 45 40 16 32 22
984,2008-07-05,4,10,20,43,46,47,46 20 04 43 47 10
985,2008-07-09,4,16,18,46,56,59,04 56 18 59 46 16
986,2008-07-12,6,15,19,24,31,32,32 06 31 24 15 19
987,2008-07-16,13,27,31,34,47,58,47 27 13 31 34 58
988,2008-07-19,8,17,46,48,56,60,48 17 46 56 60 08
989,2008-07-23,2,21,27,29,32,38,38 21 27 02 29 32
990,2008-07-26,2,10,15,18,29,39,29 18 02 15 10 39
991,2008-07-30,8,9,15,38,41,60,08 38 60 41 15 09
992,2008-08-02,1,4,6,8,25,28,06 08 04 01 25 28
993,2008-08-06,5,24,25,26,42,60,26 25 42 60 05 24
994,2008-08-09,3,20,29,40,44,58,44 40 58 29 03 20
995,2008-08-13,4,16,31,36,54,55,04 54 55 36 16 31
996,2008-08-16,7,15,20,21,23,29,21 23 20 07 29 15
997,2008-08-20,9,17,18,32,53,55,18 53 55 32 09 17
998,2008-08-23,3,4,21,22,28,32,28 21 04 32 03 22
999,2008-08-27,18,24,36,44,55,58,44 36 55 58 18 24
1000,2008-08-30,29,38,39,49,53,58,49 58 53 39 38 29
1001,2008-09-03,12,15,27,37,51,60,15 37 27 12 60 51
1002,2008-09-06,3,7,25,31,40,58,03 31 07 25 40 58
1003,2008-09-10,5,10,16,23,26,27,10 27 23 05 16 26
1004,2008-09-13,29,40,43,44,45,47,45 47 29 40 44 43
1005,2008-09-17,4,6,12,37,41,42,06 41 04 37 12 42
1006,2008-09-20,2,4,17,33,48,55,48 17 04 33 55 02
1007,2008-09-24,4,27,36,37,49,52,49 27 04 36 52 37
1008,2008-09-27,7,13,15,34,42,48,07 15 42 48 34 13
1009,2008-10-01,1,6,12,29,34,58,34 12 01 06 58 29
1010,2008-10-04,2,3,13,37,46,54,02 46 03 37 13 54
1011,2008-10-08,2,11,21,30,35,52,30 02 52 21 11 35
1012,2008-10-11,14,19,40,47,55,58,47 19 58 14 40 55
1013,2008-10-15,7,9,12,19,20,41,07 09 20 41 12 19
1014,2008-10-18,8,9,25,41,57,60,60 57 09 25 08 41
1015,2008-10-22,3,8,17,26,28,49,49 08 28 03 26 17
1016,2008-10-25,5,9,11,20,25,60,11 09 25 05 60 20
1017,2008-10-29,6,19,31,34,51,56,31 51 19 06 56 34
1018,2008-11-01,9,24,44,51,55,58,55 51 58 09 44 24
1019,2008-11-05,4,13,23,29,46,47,29 47 04 13 46 23
1020,2008-11-08,1,2,19,32,39,52,19 32 52 01 02 39
1021,2008-11-12,2,33,42,43,51,55,42 55 51 43 02 33
1022,2008-11-16,5,21,31,39,40,56,31 21 40 39 56 05
1023,2008-11-19,2,7,8,18,40,45,45 40 02 07 18 08
1024,2008-11-22,18,22,28,29,39,53,28 53 18 39 22 29
1025,2008-11-26,10,27,28,29,40,52,52 40 29 27 28 10
1026,2008-11-29,6,10,17,33,51,53,10 33 51 53 06 17
1027,2008-12-03,18,20,33,44,47,60,20 18 47 44 60 33
1028,2008-12-06,20,26,34,51,52,54,54 26 34 51 20 52
1029,2008-12-10,5,16,17,20,24,32,17 05 16 24 20 32
1030,2008-12-13,1,8,23,37,54,57,57 08 54 01 23 37
1031,2008-12-17,24,33,40,43,46,49,49 33 24 40 46 43
1032,2008-12-20,15,16,26,29,43,57,57 43 15 29 26 16
1033,2008-12-24,5,6,17,33,39,54,39 06 05 33 54 17
1034,2008-12-27,1,3,18,20,42,49,20 42 01 03 49 18
1035,2008-12-31,1,11,26,51,59,60,51 60 01 11 59 26
1036,2009-01-03,10,27,36,39,41,52,27 39 36 10 41 52
1037,2009-01-07,4,36,44,46,53,56,56 36 04 44 46 53
1038,2009-01-10,6,7,28,35,43,51,51 07 06 28 35 43
1039,2009-01-14,2,20,24,27,36,52,52 02 20 27 36 24
1040,2009-01-17,1,6,28,39,44,55,44 01 28 55 06 39
1041,2009-01-21,10,12,36,44,54,57,12 10 36 54 44 57
1042,2009-01-24,13,18,25,30,46,51,25 46 51 18 13 30
1043,2009-01-28,14,21,25,48,51,60,25 14 51 48 60 21
1044,2009-01-31,10,11,13,35,39,58,58 10 39 11 13 35
1045,2009-02-04,1,5,6,17,31,50,31 06 05 17 50 01
1046,2009-02-07,28,40,42,54,55,57,57 40 28 42 54 55
1047,2009-02-11,1,2,8,10,14,48,01 02 10 48 14 08
1048,2009-02-14,3,16,21,28,38,57,57 03 38 21 28 16
1049,2009-02-18,2,5,17,29,34,52,34 17 52 05 02 29
1050,2009-02-21,14,24,26,33,45,60,60 14 45 24 33 26
1051,2009-02-25,7,10,11,13,43,57,57 11 07 43 10 13
1052,2009-02-28,8,11,15,16,52,57,08 11 16 15 57 52
1053,2009-03-04,15,27,34,42,49,53,15 42 27 53 34 49
1054,2009-03-07,13,14,18,27,41,60,41 27 13 60 14 18
1055,2009-03-11,12,15,16,20,27,32,27 32 15 12 20 16
1056,2009-03-14,6,8,38,50,53,59,38 08 50 53 59 06
1057,2009-03-18,2,3,4,15,49,59,15 49 59 04 03 02
1058,2009-03-21,18,20,24,45,51,57,20 51 57 45 24 18
1059,2009-03-25,1,12,14,16,37,45,37 01 14 45 12 16
1060,2009-03-28,1,3,16,18,41,42,01 41 03 18 16 42
1061,2009-04-01,9,21,23,30,41,56,09 41 56 23 21 30
1062,2009-04-04,2,8,23,33,37,55,55 08 02 37 23 33
1063,2009-04-08,1,22,44,47,49,50,49 01 22 47 44 50
1064,2009-04-11,4,16,19,28,29,49,28 04 19 16 49 29
1065,2009-04-15,7,19,30,39,43,57,07 57 19 43 39 30
1066,2009-04-18,6,10,25,32,43,49,10 43 49 32 25 06
1067,2009-04-22,4,10,14,25,28,56,14 10 56 25 04 28
1068,2009-04-25,25,27,44,47,48,57,44 48 25 57 27 47
1069,2009-04-29,9,17,28,45,49,53,28 17 49 53 45 09
1070,2009-05-02,5,8,16,23,41,53,41 53 08 23 05 16
1071,2009-05-06,5,7,37,43,53,54,05 37 43 07 53 54
1072,2009-05-09,9,18,19,43,47,54,19 18 54 47 43 09
1073,2009-05-13,8,25,32,34,36,44,44 36 32 08 34 25
1074,2009-05-16,3,10,23,29,47,50,03 47 10 50 29 23
1075,2009-05-20,10,12,16,21,39,53,53 39 16 21 10 12
1076,2009-05-23,4,10,19,32,33,42,32 33 10 19 42 04
1077,2009-05-27,5,6,9,11,18,37,11 06 18 05 37 09
1078,2009-05-30,3,6,34,41,43,45,03 06 45 34 41 43
1079,2009-06-03,5,12,24,28,36,37,36 12 37 24 05 28
1080,2009-06-06,11,18,20,34,41,56,56 11 20 41 34 18
1081,2009-06-10,9,16,24,29,52,56,09 56 29 52 16 24
1082,2009-06-13,4,17,38,40,50,55,04 40 50 17 55 38
1083,2009-06-17,10,20,23,28,42,43,20 28 42 23 10 43
1084,2009-06-20,5,20,29,33,40,59,20 05 29 59 40 33
1085,2009-06-24,12,21,39,40,50,55,39 50 21 12 40 55
1086,2009-06-27,2,4,6,10,23,45,45 04 06 23 10 02
1087,2009-07-01,3,20,28,32,36,46,36 46 28 32 03 20
1088,2009-07-04,6,24,31,35,42,57,24 42 35 31 06 57
1089,2009-07-08,2,18,20,32,37,48,37 48 32 02 18 20
1090,2009-07-11,9,20,24,36,40,42,24 09 40 20 36 42
1091,2009-07-15,17,23,24,27,49,56,27 56 17 24 49 23
1092,2009-07-18,1,9,30,33,34,40,40 30 01 09 33 34
1093,2009-07-22,19,23,27,38,41,49,27 49 38 23 41 19
1094,2009-07-25,9,10,21,36,41,48,10 09 48 36 41 21
1095,2009-07-29,10,16,21,23,27,36,27 23 36 10 21 16
1096,2009-08-01,3,13,14,16,41,52,03 41 52 14 13 16
1097,2009-08-05,1,17,21,33,48,56,21 48 33 01 56 17
1098,2009-08-08,11,20,21,30,50,52,30 20 21 11 50 52
1099,2009-08-12,14,31,35,38,44,55,55 44 38 35 14 31
1100,2009-08-15,7,17,18,33,41,42,41 33 17 18 07 42
1101,2009-08-19,6,7,10,12,24,57,07 12 57 06 24 10
1102,2009-08-22,9,11,23,35,46,51,46 23 09 35 11 51
1103,2009-08-26,10,19,28,41,55,56,41 19 10 28 55 56
1104,2009-08-29,2,3,6,35,49,58,03 35 58 49 02 06
1105,2009-09-02,1,15,28,43,50,57,43 01 50 28 57 15
1106,2009-09-05,4,15,43,47,50,60,04 15 50 60 43 47
1107,2009-09-09,3,9,20,36,53,54,36 20 54 09 03 53
1108,2009-09-12,7,9,39,43,44,60,60 44 07 39 43 09
1109,2009-09-16,6,8,11,14,29,52,11 52 14 06 29 08
1110,2009-09-19,6,14,26,28,42,45,26 45 06 28 42 14
1111,2009-09-23,4,9,25,32,33,43,04 43 25 09 33 32
1112,2009-09-26,4,32,34,43,52,58,04 34 52 32 58 43
1113,2009-09-30,3,6,29,36,47,59,47 36 29 59 03 06
1114,2009-10-03,3,15,16,22,25,54,16 03 22 54 25 15
1115,2009-10-07,18,30,37,41,44,50,44 41 18 50 37 30
1116,2009-10-10,4,9,13,17,20,47,17 20 04 47 09 13
1117,2009-10-14,1,6,17,27,35,40,27 35 40 01 06 17
1118,2009-10-17,8,20,21,43,44,55,55 44 08 20 43 21
1119,2009-10-21,10,34,41,44,45,54,44 54 41 45 34 10
1120,2009-10-24,7,35,40,44,50,55,50 55 07 35 44 40
1121,2009-10-28,4,17,18,54,56,59,18 04 59 54 56 17
1122,2009-10-31,26,44,46,49,55,56,49 44 56 26 46 55
1123,2009-11-04,4,14,19,39,45,60,19 04 39 14 45 60
1124,2009-11-07,7,11,16,18,33,49,49 11 07 18 16 33
1125,2009-11-11,3,7,29,33,42,56,07 42 56 29 33 03
1126,2009-11-14,4,31,42,52,57,59,59 31 57 04 52 42
1127,2009-11-18,5,8,14,24,29,30,24 08 14 05 29 30
1128,2009-11-21,8,16,24,39,52,60,60 08 39 52 24 16
1129,2009-11-25,12,17,19,32,47,55,47 19 17 12 32 55
1130,2009-11-28,5,18,23,32,49,54,23 49 32 54 18 05
1131,2009-12-02,1,8,16,34,36,49,49 34 36 01 16 08
1132,2009-12-05,12,27,30,33,52,55,52 30 27 12 55 33
1133,2009-12-09,5,10,16,21,39,58,16 05 58 39 10 21
1134,2009-12-12,9,22,29,36,51,56,29 36 56 22 09 51
1135,2009-12-16,4,5,6,19,23,39,05 04 19 39 06 23
1136,2009-12-19,7,31,32,34,37,43,07 31 32 37 43 34
1137,2009-12-22,19,21,25,28,43,50,21 28 19 25 50 43
1138,2009-12-24,2,4,15,18,25,36,04 25 18 15 36 02
1139,2009-12-26,9,28,31,36,37,42,36 42 37 09 28 31
1140,2009-12-31,10,27,40,46,49,58,49 58 40 46 10 27
1141,2010-01-02,9,37,40,50,58,60,40 09 37 58 50 60
1142,2010-01-06,3,15,26,28,31,58,28 31 15 58 03 26
1143,2010-01-09,3,30,35,44,47,60,35 47 60 44 30 03
1144,2010-01-13,1,10,18,19,44,49,19 10 49 18 01 44
1145,2010-01-16,3,16,19,24,33,60,19 03 60 33 24 16
1146,2010-01-20,6,10,28,33,34,53,10 34 53 33 28 06
1147,2010-01-23,6,23,31,33,39,52,23 39 52 31 06 33
1148,2010-01-27,27,28,29,32,48,55,48 32 29 55 27 28
1149,2010-01-30,7,8,23,36,46,54,46 54 08 36 07 23
1150,2010-02-03,15,17,28,31,35,52,28 17 35 52 31 15
1151,2010-02-06,1,4,14,21,25,51,01 25 04 14 21 51
1152,2010-02-10,14,20,29,36,44,47,47 36 44 29 20 14
1153,2010-02-13,6,17,19,34,46,55,55 46 34 17 19 06
1154,2010-02-17,4,12,14,21,26,28,04 14 21 26 12 28
1155,2010-02-20,20,28,40,41,51,58,28 58 41 40 51 20
1156,2010-02-24,9,24,31,44,48,49,31 49 44 24 09 48
1157,2010-02-27,9,29,41,43,46,49,46 09 43 41 49 29
1158,2010-03-03,23,30,31,54,55,60,23 31 60 55 30 54
1159,2010-03-06,5,6,34,46,53,55,53 46 05 06 34 55
1160,2010-03-10,1,3,5,18,40,48,40 05 03 48 01 18
1161,2010-03-13,4,7,42,47,48,51,48 47 07 04 42 51
1162,2010-03-17,18,22,25,30,31,41,31 25 18 41 22 30
1163,2010-03-20,5,17,31,47,51,53,05 51 31 53 47 17
1164,2010-03-24,6,14,17,26,40,49,17 06 14 40 49 26
1165,2010-03-27,20,40,42,52,54,60,20 52 60 42 54 40
1166,2010-03-31,22,28,30,31,35,54,35 28 54 30 22 31
1167,2010-04-03,20,28,43,51,52,56,43 28 56 20 52 51
1168,2010-04-07,4,5,20,47,53,56,47 20 04 56 53 05
1169,2010-04-10,1,11,14,23,42,48,14 01 11 23 42 48
1170,2010-04-14,11,13,27,34,46,49,46 11 27 34 49 13
1171,2010-04-17,3,10,13,30,41,57,41 03 10 30 57 13
1172,2010-04-20,6,12,28,43,52,56,28 52 06 43 12 56
1173,2010-04-24,5,7,24,25,36,47,07 25 24 36 05 47
1174,2010-04-28,6,7,39,47,51,52,07 52 06 51 47 39
1175,2010-04-30,2,3,12,16,37,47,02 03 12 37 47 16
1176,2010-05-05,11,14,21,30,33,49,21 11 49 14 33 30
1177,2010-05-08,33,38,47,50,52,55,33 52 55 47 38 50
1178,2010-05-12,1,22,30,45,50,53,01 53 22 50 45 30
1179,2010-05-15,5,22,28,47,59,60,59 28 47 60 22 05
1180,2010-05-19,12,30,34,44,57,60,60 12 34 30 44 57
1181,2010-05-22,18,20,26,31,44,45,44 18 45 31 26 20
1182,2010-05-26,2,4,29,52,56,60,52 29 56 60 02 04
1183,2010-05-29,5,10,12,20,29,37,12 05 10 20 29 37
1184,2010-06-02,4,9,23,27,28,30,04 23 27 28 09 30
1185,2010-06-05,2,10,21,35,43,54,54 10 02 43 21 35
1186,2010-06-09,7,8,12,13,15,41,41 12 15 07 13 08
1187,2010-06-12,8,17,19,40,43,49,08 49 43 17 40 19
1188,2010-06-16,9,20,44,52,59,60,60 52 59 09 44 20
1189,2010-06-19,14,21,27,31,35,50,50 21 14 35 31 27
1190,2010-06-23,10,11,19,37,53,56,11 53 56 37 10 19
1191,2010-06-26,3,11,16,22,25,33,25 22 11 16 33 03
1192,2010-06-30,17,20,49,52,57,59,49 17 20 59 57 52
1193,2010-07-03,2,9,12,14,32,54,12 54 02 32 14 09
1194,2010-07-07,6,13,24,41,50,53,24 53 41 06 13 50
1195,2010-07-10,17,20,26,27,55,57,27 17 57 26 55 20
1196,2010-07-14,3,6,19,20,58,60,60 03 20 19 58 06
1197,2010-07-17,36,37,39,49,54,60,39 54 36 37 60 49
1198,2010-07-21,22,29,36,41,48,58,29 22 36 58 41 48
1199,2010-07-24,16,19,23,28,39,58,58 28 23 39 16 19
1200,2010-07-28,3,10,11,39,54,56,10 03 39 54 56 11
1201,2010-07-31,28,32,36,49,55,60,36 32 55 49 60 28
1202,2010-08-04,8,9,11,48,53,60,09 60 11 53 48 08
1203,2010-08-07,7,9,30,33,38,55,55 30 33 09 07 38
1204,2010-08-11,5,10,25,39,43,52,10 25 05 39 52 43
1205,2010-08-14,4,13,14,26,29,35,14 04 26 35 29 13
1206,2010-08-18,2,6,11,36,37,48,02 11 37 36 48 06
1207,2010-08-21,9,11,22,32,35,56,32 35 22 09 56 11
1208,2010-08-25,1,12,20,26,45,54,45 12 01 26 54 20
1209,2010-08-28,5,14,17,30,35,38,30 17 38 14 05 35
1210,2010-09-01,3,7,9,10,31,34,03 07 09 10 31 34
1211,2010-09-04,3,15,31,36,48,54,36 54 03 31 15 48
1212,2010-09-08,2,23,33,35,40,50,35 50 02 23 33 40
1213,2010-09-11,3,11,26,34,45,53,03 53 45 11 34 26
1214,2010-09-15,5,29,30,36,41,48,05 41 29 36 30 48
1215,2010-09-18,10,25,30,47,50,51,47 51 10 50 30 25
1216,2010-09-22,4,7,13,25,27,58,07 25 04 58 13 27
1217,2010-09-25,5,11,15,28,43,50,05 43 28 15 11 50
1218,2010-09-29,10,23,29,31,33,46,33 23 29 46 10 31
1219,2010-10-02,2,33,34,37,41,53,34 37 41 53 02 33
1220,2010-10-06,5,15,43,48,52,55,48 55 52 43 05 15
1221,2010-10-09,5,14,37,43,46,58,46 05 58 37 14 43
1222,2010-10-13,5,8,19,26,48,57,26 19 48 57 05 08
1223,2010-10-16,15,17,35,42,47,48,17 15 48 42 35 47
1224,2010-10-20,19,21,27,41,53,57,41 19 57 53 21 27
1225,2010-10-23,31,32,34,40,50,55,32 55 34 31 50 40
1226,2010-10-27,10,31,40,50,55,56,31 55 56 50 40 10
1227,2010-10-30,4,28,30,31,35,54,35 31 04 30 54 28
1228,2010-11-03,10,23,36,50,52,60,36 10 60 52 50 23
1229,2010-11-06,12,30,32,40,49,60,12 49 60 32 30 40
1230,2010-11-10,9,12,19,22,35,37,37 35 12 22 19 09
1231,2010-11-13,5,20,23,27,39,49,20 27 49 05 23 39
1232,2010-11-17,8,11,12,15,18,22,12 18 15 08 11 22
1233,2010-11-20,22,29,32,49,54,59,49 22 59 29 32 54
1234,2010-11-24,3,5,19,24,30,35,03 05 24 19 30 35
1235,2010-11-27,10,16,20,26,49,55,16 49 55 20 10 26
1236,2010-12-01,3,8,17,20,38,53,17 20 38 08 53 03
1237,2010-12-04,5,18,21,26,39,59,26 21 39 05 18 59
1238,2010-12-08,13,14,24,39,40,45,40 45 24 14 13 39
1239,2010-12-11,1,15,37,39,48,52,15 01 48 37 39 52
1240,2010-12-15,8,9,12,22,42,49,22 42 49 08 12 09
1241,2010-12-18,10,13,25,26,28,45,13 26 25 10 28 45
1242,2010-12-20,11,34,45,48,51,54,54 45 51 11 34 48
1243,2010-12-22,9,19,23,29,32,57,32 19 23 57 09 29
1244,2010-12-24,2,8,15,25,34,45,45 08 34 15 02 25
1245,2010-12-31,2,10,34,37,43,50,34 10 37 50 43 02
1246,2011-01-05,10,37,40,43,57,59,59 10 37 57 40 43
1247,2011-01-08,3,9,11,24,36,51,09 11 24 03 51 36
1248,2011-01-12,20,33,34,57,58,60,20 33 58 34 57 60
1249,2011-01-15,3,8,36,40,51,53,03 40 08 53 51 36
1250,2011-01-19,1,2,24,40,51,59,59 01 02 40 51 24
1251,2011-01-22,5,27,34,46,48,52,48 27 34 52 46 05
1252,2011-01-26,2,14,35,39,49,51,35 02 51 14 49 39
1253,2011-01-29,2,17,23,43,44,51,02 51 17 44 43 23
1254,2011-02-02,7,9,14,18,29,39,09 29 18 07 14 39
1255,2011-02-05,5,23,38,39,51,54,23 05 54 39 38 51
1256,2011-02-09,26,33,35,38,43,53,26 38 33 35 53 43
1257,2011-02-12,2,15,26,27,30,52,27 15 30 52 26 02
1258,2011-02-16,11,26,47,55,57,59,47 26 11 57 59 55
1259,2011-02-19,4,6,39,46,54,58,39 54 58 46 04 06
